Season,Team,pl_total_gbp
2019-2020,Liverpool,152400000
2019-2020,Man City,168300000
2019-2020,Man United,166200000
2019-2020,Chelsea,160900000
2019-2020,Tottenham,155600000
2019-2020,Arsenal,148200000
2019-2020,Leicester,147400000
2019-2020,Wolves,141100000
2019-2020,Sheffield United,132600000
2019-2020,Everton,128200000
2019-2020,Burnley,127300000
2019-2020,Newcastle,126000000
2019-2020,Southampton,123100000
2019-2020,Crystal Palace,115600000
2019-2020,Brighton,113500000
2019-2020,West Ham,113400000
2019-2020,Aston Villa,106100000
2019-2020,Bournemouth,100800000
2019-2020,Watford,97700000
2019-2020,Norwich,94500000
2020-2021,Man City,153900000
2020-2021,Man United,153500000
2020-2021,Chelsea,150900000
2020-2021,Liverpool,148300000
2020-2021,West Ham,143500000
2020-2021,Leicester,141300000
2020-2021,Tottenham,139400000
2020-2021,Leeds,138600000
2020-2021,Arsenal,135000000
2020-2021,Everton,134400000
2020-2021,Aston Villa,122200000
2020-2021,Wolves,119900000
2020-2021,Newcastle,116900000
2020-2021,Crystal Palace,116300000
2020-2021,Southampton,111700000
2020-2021,Brighton,107500000
2020-2021,Burnley,101700000
2020-2021,Fulham,106900000
2020-2021,West Brom,101700000
2020-2021,Sheffield United,91000000
2021-2022,Man City,164000000
2021-2022,Liverpool,162300000
2021-2022,Tottenham,155100000
2021-2022,Chelsea,155000000
2021-2022,Arsenal,154300000
2021-2022,Man United,149800000
2021-2022,West Ham,143300000
2021-2022,Leicester,134100000
2021-2022,Newcastle,130900000
2021-2022,Brighton,130500000
2021-2022,Wolves,128800000
2021-2022,Crystal Palace,123500000
2021-2022,Aston Villa,122000000
2021-2022,Brentford,119900000
2021-2022,Everton,118900000
2021-2022,Leeds,114000000
2021-2022,Southampton,111800000
2021-2022,Burnley,103900000
2021-2022,Watford,103900000
2021-2022,Norwich,98600000
2022-2023,Man City,161300000
2022-2023,Arsenal,159800000
2022-2023,Man United,152100000
2022-2023,Newcastle,151700000
2022-2023,Liverpool,151600000
2022-2023,Brighton,150200000
2022-2023,Aston Villa,142100000
2022-2023,Tottenham,134000000
2022-2023,Brentford,131500000
2022-2023,Fulham,130600000
2022-2023,Crystal Palace,128200000
2022-2023,Chelsea,124300000
2022-2023,Wolves,123300000
2022-2023,West Ham,121000000
2022-2023,Bournemouth,120400000
2022-2023,Nott'm Forest,116100000
2022-2023,Everton,113300000
2022-2023,Leicester,106100000
2022-2023,Leeds,104600000
2022-2023,Southampton,100300000
2023-2024,Man City,175900000
2023-2024,Arsenal,175500000
2023-2024,Liverpool,171000000
2023-2024,Aston Villa,162400000
2023-2024,Tottenham,164600000
2023-2024,Chelsea,159200000
2023-2024,Newcastle,154700000
2023-2024,Man United,156200000
2023-2024,West Ham,147400000
2023-2024,Crystal Palace,139600000
2023-2024,Brighton,136800000
2023-2024,Bournemouth,131500000
2023-2024,Fulham,128600000
2023-2024,Wolves,130000000
2023-2024,Everton,132200000
2023-2024,Brentford,124300000
2023-2024,Nott'm Forest,123300000
2023-2024,Luton,115400000
2023-2024,Burnley,110100000
2023-2024,Sheffield United,109700000
2024-2025,Liverpool,174900000
2024-2025,Arsenal,171500000
2024-2025,Man City,165500000
2024-2025,Chelsea,163700000
2024-2025,Newcastle,160200000
2024-2025,Aston Villa,159300000
2024-2025,Nott'm Forest,152500000
2024-2025,Brighton,145100000
2024-2025,Bournemouth,143400000
2024-2025,Brentford,138900000
2024-2025,Fulham,135500000
2024-2025,Crystal Palace,136100000
2024-2025,Everton,131800000
2024-2025,West Ham,130900000
2024-2025,Man United,136200000
2024-2025,Wolves,123100000
2024-2025,Tottenham,127800000
2024-2025,Leicester,116900000
2024-2025,Ipswich,111100000
2024-2025,Southampton,109200000